Rank,Country,Population2023
36,Afghanistan,42239854
138,Albania,2832439
34,Algeria,45606480
212,American Samoa,43914
202,Andorra,80088
42,Angola,36684202
223,Anguilla,15899
200,Antigua and Barbuda,94298
33,Argentina,45773884
140,Armenia,2777970
197,Aruba,106277
55,Australia,26439111
100,Austria,8958960
90,Azerbaijan,10412651
177,Bahamas,412623
154,Bahrain,1485509
8,Bangladesh,172954319
187,Barbados,281995
97,Belarus,9498238
82,Belgium,11686140
178,Belize,410825
77,Benin,13712828
205,Bermuda,64069
165,Bhutan,787424
80,Bolivia,12388571
137,Bosnia and Herzegovina,3210847
144,Botswana,2675352
7,Brazil,216422446
219,British Virgin Islands,31538
176,Brunei ,452524
110,Bulgaria,6687717
59,Burkina Faso,23251485
78,Burundi,13238559
171,Cabo Verde,598682
73,Cambodia,16944826
53,Cameroon,28647293
38,Canada,38781291
220,Caribbean Netherlands,27148
204,Cayman Islands,69310
117,Central African Republic,5742315
67,Chad,18278568
65,Chile,19629590
2,China,1425671352
28,Colombia,52085168
163,Comoros,852075
113,Congo,6106869
222,Cook Islands,17044
124,Costa Rica,5212173
130,Croatia,4008617
85,Cuba,11194449
190,Curaçao,192077
158,Cyprus,1260138
89,Czech Republic (Czechia),10495295
51,Côte d'Ivoire,28873034
115,Denmark,5910913
160,Djibouti,1136455
203,Dominica,73040
84,Dominican Republic,11332972
15,DR Congo,102262808
68,Ecuador,18190484
14,Egypt,112716598
112,El Salvador,6364943
152,Equatorial Guinea,1714671
131,Eritrea,3748901
156,Estonia,1322765
159,Eswatini,1210822
11,Ethiopia,126527060
207,Faeroe Islands,53270
231,Falkland Islands,3791
162,Fiji,936375
118,Finland,5545475
23,France,64756584
184,French Guiana,312155
185,French Polynesia,308872
146,Gabon,2436566
141,Gambia,2773168
132,Georgia,3728282
19,Germany,83294633
47,Ghana,34121985
217,Gibraltar,32688
91,Greece,10341277
206,Greenland,56643
194,Grenada,126183
179,Guadeloupe,395839
192,Guam,172952
70,Guatemala,18092026
75,Guinea,14190612
148,Guinea-Bissau,2150842
164,Guyana,813834
81,Haiti,11724763
234,Holy See,518
88,Honduras,10593798
104,Hong Kong,7491609
94,Hungary,10156239
180,Iceland,375318
1,India,1428627663
4,Indonesia,277534122
17,Iran,89172767
35,Iraq,45504560
125,Ireland,5056935
201,Isle of Man,84710
98,Israel,9174520
25,Italy,58870762
139,Jamaica,2825544
12,Japan,123294513
83,Jordan,11337052
66,Kazakhstan,19606633
26,Kenya,55100586
193,Kiribati,133515
129,Kuwait,4310108
109,Kyrgyzstan,6735347
103,Laos,7633779
151,Latvia,1830211
122,Lebanon,5353930
147,Lesotho,2330318
120,Liberia,5418377
107,Libya,6888388
214,Liechtenstein,39584
142,Lithuania,2718352
168,Luxembourg,654768
167,Macao,704149
50,Madagascar,30325732
62,Malawi,20931751
46,Malaysia,34308525
175,Maldives,521021
58,Mali,23293698
174,Malta,535064
213,Marshall Islands,41996
181,Martinique,366981
126,Mauritania,4862989
157,Mauritius,1300557
182,Mayotte,335995
10,Mexico,128455567
173,Micronesia,544321
134,Moldova,3435931
215,Monaco,36297
133,Mongolia,3447157
169,Montenegro,626485
230,Montserrat,4386
39,Morocco,37840044
48,Mozambique,33897354
27,Myanmar,54577997
145,Namibia,2604172
224,Nauru,12780
49,Nepal,30896590
72,Netherlands,17618299
186,New Caledonia,292991
123,New Zealand,5228100
106,Nicaragua,7046310
54,Niger,27202843
6,Nigeria,223804632
232,Niue,1935
56,North Korea,26160821
150,North Macedonia,2085679
208,Northern Mariana Islands,49796
119,Norway,5474360
127,Oman,4644384
5,Pakistan,240485658
221,Palau,18058
128,Panama,4468087
92,Papua New Guinea,10329931
108,Paraguay,6861524
45,Peru,34352719
13,Philippines,117337368
37,Poland,41026067
93,Portugal,10247605
136,Puerto Rico,3260314
143,Qatar,2716391
64,Romania,19892812
9,Russia,144444359
76,Rwanda,14094683
161,Réunion,981796
227,Saint Barthelemy,10994
229,Saint Helena,5314
209,Saint Kitts & Nevis,47755
191,Saint Lucia,180251
218,Saint Martin,32077
228,Saint Pierre & Miquelon,5840
189,Samoa,225681
216,San Marino,33642
188,Sao Tome & Principe,231856
40,Saudi Arabia,36947025
71,Senegal,17763163
105,Serbia,7149077
196,Seychelles,107660
102,Sierra Leone,8791092
114,Singapore,6014723
211,Sint Maarten,44222
116,Slovakia,5795199
149,Slovenia,2119675
166,Solomon Islands,740424
69,Somalia,18143378
24,South Africa,60414495
29,South Korea,51784059
86,South Sudan,11088796
32,Spain,47519628
61,Sri Lanka,21893579
198,St. Vincent & Grenadines,103698
121,State of Palestine,5371230
31,Sudan,48109006
170,Suriname,623236
87,Sweden,10612086
101,Switzerland,8796669
60,Syria,23227014
57,Taiwan,23923276
95,Tajikistan,10143543
22,Tanzania,67438106
20,Thailand,71801279
155,Timor-Leste,1360596
99,Togo,9053799
233,Tokelau,1893
195,Tonga,107773
153,Trinidad and Tobago,1534937
79,Tunisia,12458223
18,Turkey,85816199
111,Turkmenistan,6516100
210,Turks and Caicos,46062
226,Tuvalu,11396
199,U.S. Virgin Islands,98750
30,Uganda,48582334
41,Ukraine,36744634
96,United Arab Emirates,9516871
21,United Kingdom,67736802
3,United States,339996563
135,Uruguay,3423108
43,Uzbekistan,35163944
183,Vanuatu,334506
52,Venezuela,28838499
16,Vietnam,98858950
225,Wallis & Futuna,11502
172,Western Sahara,587259
44,Yemen,34449825
63,Zambia,20569737
74,Zimbabwe,16665409
,European Union,448000000
